RegionName,Year,Month,HousePrice
Indiana,2012,9,50481.37611961537
Indiana,2012,10,50868.122104109636
Indiana,2012,11,51040.287358013724
Indiana,2012,12,50920.49490940382
Indiana,2013,1,50534.13688549541
Indiana,2013,2,50123.521521788585
Indiana,2013,3,49634.162060080664
Indiana,2013,4,49293.32288742146
Indiana,2013,5,49015.04006220298
Indiana,2013,6,48959.83735103619
Indiana,2013,7,49054.213850020526
Indiana,2013,8,49468.23533626714
Indiana,2013,9,50014.956432905194
Indiana,2013,10,50497.24814599884
Indiana,2013,11,50566.260379510735
Indiana,2013,12,50425.7636432609
Indiana,2014,1,50267.94314073239
Indiana,2014,2,50246.361752115736
Indiana,2014,3,50210.63148800811
Indiana,2014,4,50337.600598624005
Indiana,2014,5,50559.93599875794
Indiana,2014,6,50897.683797789265
Indiana,2014,7,51331.339976057374
Indiana,2014,8,51820.695172512824
Indiana,2014,9,52235.306856549054
Indiana,2014,10,52553.79703013234
Indiana,2014,11,52772.784683284226
Indiana,2014,12,53041.912040053016
Indiana,2015,1,53103.551424490586
Indiana,2015,2,53107.21678595352
Indiana,2015,3,53097.958744194475
Indiana,2015,4,53257.88136739176
Indiana,2015,5,53520.018204788015
Indiana,2015,6,53777.83750395617
Indiana,2015,7,53946.715633878026
Indiana,2015,8,54141.95623836912
Indiana,2015,9,54316.71600237212
Indiana,2015,10,54550.18810633799
Indiana,2015,11,54638.45133525914
Indiana,2015,12,54795.53667260247
Indiana,2016,1,54950.456993667874
Indiana,2016,2,55222.315844435885
Indiana,2016,3,55249.17492781946
Indiana,2016,4,55359.37077667937
Indiana,2016,5,55625.51162504948
Indiana,2016,6,56197.60959116461
Indiana,2016,7,56576.72005914138
Indiana,2016,8,56792.6100193932
Indiana,2016,9,56901.795688099744
Indiana,2016,10,57078.36082392741
Indiana,2016,11,57341.49045170463
Indiana,2016,12,57623.00704045148
Indiana,2017,1,57898.31214109702
Indiana,2017,2,58063.64172273872
